,PV,load,EV_availability,EV_time_to_departure
2019-01-11 07:00:00,903.3255071606507,2087.460441888889,0,0
2019-01-11 08:00:00,1416.6031749204453,2838.948552611111,0,0
2019-01-11 09:00:00,500.2959799369945,2998.2707786111105,0,0
2019-01-11 10:00:00,2443.832620607753,4306.148803833335,0,0
2019-01-11 11:00:00,3368.2780615391293,5331.7437215,0,0
2019-01-11 12:00:00,4781.918465034237,3777.4230884444437,0,0
2019-01-11 13:00:00,1551.0043415236694,2513.8368391111107,0,0
2019-01-11 14:00:00,3360.067118565075,2341.3112982777775,0,0
2019-01-11 15:00:00,1768.7159309346046,2884.154785555557,0,0
2019-01-11 16:00:00,682.4516128574403,2553.2971827222227,0,0
2019-01-11 17:00:00,1182.3192066650035,2575.377629611112,1,14
2019-01-11 18:00:00,226.81077027393704,2972.195079388889,1,13
2019-01-11 19:00:00,7.140753559265281,2490.898732777777,1,12
2019-01-11 20:00:00,0.0,1972.5012739444437,1,11
2019-01-11 21:00:00,0.0,2781.871225388889,1,10
2019-01-11 22:00:00,0.0,3963.853426166668,1,9
2019-01-11 23:00:00,0.0,4272.168979166663,1,8
2019-01-12 00:00:00,0.0,1292.4683566666668,1,7
2019-01-12 01:00:00,0.0,1283.4017237222222,1,6
2019-01-12 02:00:00,0.0,1207.3014815555557,1,5
2019-01-12 03:00:00,0.0,5724.359924111112,1,4
2019-01-12 04:00:00,75.52274090754018,2458.9454155000008,1,3
2019-01-12 05:00:00,414.1361506525091,1436.6987366666667,1,2
2019-01-12 06:00:00,1100.146670177507,1686.1169410555558,1,1
2019-01-12 07:00:00,2762.829735409835,2339.4270452777782,0,0
2019-01-12 08:00:00,3785.814824621338,3757.295928944446,0,0
2019-01-12 09:00:00,6174.879102471063,3560.5404302222228,0,0
2019-01-12 10:00:00,4975.198441489754,4464.256821111111,0,0
2019-01-12 11:00:00,7529.802814821041,7127.622385722225,0,0
2019-01-12 12:00:00,4918.768372351631,3070.091102166667,1,30
2019-01-12 13:00:00,6109.943370518702,3216.630412333333,1,29
2019-01-12 14:00:00,3187.1175543661666,3667.4143348888883,1,28
2019-01-12 15:00:00,1849.2627616474458,2270.117772611111,1,27
2019-01-12 16:00:00,892.2306013943055,3015.058244333334,1,26
2019-01-12 17:00:00,236.86386569743075,4470.797577944444,1,25
2019-01-12 18:00:00,28.799615152832693,3862.1012869444453,1,24
2019-01-12 19:00:00,5.868198760552742,2579.7388889999997,1,23
2019-01-12 20:00:00,0.0,2255.275845666667,1,22
2019-01-12 21:00:00,0.0,3037.5260510000003,1,21
2019-01-12 22:00:00,2.8213357697142105,6262.4764685,1,20
2019-01-12 23:00:00,0.0,1837.5526967777776,1,19
2019-01-13 00:00:00,0.0,1341.6808070555555,1,18
2019-01-13 01:00:00,0.0,1377.0618539999998,1,17
2019-01-13 02:00:00,4.683964059771988,2548.1288241111097,1,16
2019-01-13 03:00:00,0.0,6342.897634888888,1,15
2019-01-13 04:00:00,70.61927111174398,5417.699256666665,1,14
2019-01-13 05:00:00,556.0561513307562,1967.860489777777,1,13
2019-01-13 06:00:00,969.0945094766515,2043.9227168888885,1,12
2019-01-13 07:00:00,256.5579420413753,3469.654440388888,1,11
2019-01-13 08:00:00,862.4531302051472,2219.981064,1,10
2019-01-13 09:00:00,986.0406572978952,1947.8464133333332,1,9
2019-01-13 10:00:00,1205.653144085691,2217.300001388889,1,8
2019-01-13 11:00:00,1694.8000384783918,4152.878010944444,1,7
2019-01-13 12:00:00,986.1367603967662,3757.9783589444432,1,6
2019-01-13 13:00:00,4169.94643103413,1953.2260684999997,1,5
2019-01-13 14:00:00,1510.009699816973,2114.845628777779,1,4
2019-01-13 15:00:00,1525.8856822790508,2629.369960777778,1,3
2019-01-13 16:00:00,494.84621388909227,2473.0788448333333,1,2
2019-01-13 17:00:00,438.97435117382105,2263.560438611111,1,1
2019-01-13 18:00:00,107.68923401688458,3008.9759112777783,0,0
2019-01-13 19:00:00,0.0,2665.4316581666676,1,18
2019-01-13 20:00:00,0.0,2064.84393111111,1,17
2019-01-13 21:00:00,0.9382369203087566,3569.5316475,1,16
2019-01-13 22:00:00,0.0,8021.936397611106,1,15
2019-01-13 23:00:00,0.0,1510.8803033333336,1,14
2019-01-14 00:00:00,0.0,1384.1320733333337,1,13
2019-01-14 01:00:00,0.9410878198826103,1462.0770881111112,1,12
2019-01-14 02:00:00,0.947849432667716,1420.3514305555555,1,11
2019-01-14 03:00:00,0.0,6312.196134611111,1,10
2019-01-14 04:00:00,95.65703849531255,3524.5166915000013,1,9
2019-01-14 05:00:00,538.940217109037,1416.8066846111112,1,8
2019-01-14 06:00:00,1276.1012824816562,1517.741776444444,1,7
2019-01-14 07:00:00,4923.048836719326,3202.7400583888884,1,6
2019-01-14 08:00:00,6665.830891388148,2842.175043555554,1,5
2019-01-14 09:00:00,8179.992877205246,2960.6424267777784,1,4
2019-01-14 10:00:00,9096.211996687274,5712.861714388888,1,3
2019-01-14 11:00:00,9458.676242109166,10109.161483166667,1,2
2019-01-14 12:00:00,9384.565083982596,4837.717530722223,1,1
2019-01-14 13:00:00,8705.096592398524,2395.325444944444,0,0
2019-01-14 14:00:00,7200.526509866089,3247.1962366666685,1,28
2019-01-14 15:00:00,2476.014080595988,4164.286072333332,1,27
2019-01-14 16:00:00,887.3653521553231,3510.468438166667,1,26
2019-01-14 17:00:00,704.3030988605699,2286.1169605555556,1,25
2019-01-14 18:00:00,118.1439062024931,2605.649731611112,1,24
2019-01-14 19:00:00,0.0,2173.712875055555,1,23
2019-01-14 20:00:00,0.0,2460.4315781111104,1,22
2019-01-14 21:00:00,0.0,2796.490873944444,1,21
2019-01-14 22:00:00,0.0,5964.725610277778,1,20
2019-01-14 23:00:00,0.0,1507.5591747222225,1,19
2019-01-15 00:00:00,0.9786409092266622,1333.836903388889,1,18
2019-01-15 01:00:00,0.0,1182.0724117222217,1,17
2019-01-15 02:00:00,0.0,3459.043715555556,1,16
2019-01-15 03:00:00,0.0,7454.280198555554,1,15
2019-01-15 04:00:00,74.06211370537137,2869.9885977777776,1,14
2019-01-15 05:00:00,485.9578958156784,1293.201763,1,13
2019-01-15 06:00:00,1295.5155479663727,1515.872135166666,1,12
2019-01-15 07:00:00,5107.966697708527,2358.4453623888885,1,11
2019-01-15 08:00:00,7250.332756669457,1991.4940706111115,1,10
2019-01-15 09:00:00,8680.596195292292,2482.520079666667,1,9
2019-01-15 10:00:00,10637.441881703242,2260.1953760555543,1,8
2019-01-15 11:00:00,6924.841809437844,2732.8993615,1,7
2019-01-15 12:00:00,5323.400067917949,3207.3173385555574,1,6
2019-01-15 13:00:00,3405.389197194646,2473.0841204999992,1,5
2019-01-15 14:00:00,2673.60917546044,2118.1029543333325,1,4
